STATE,NULL,$,(,),*,+,",",-,/,;,=,ELSE,FLOAT,IDENTIFIER,IF,INT,I_CONSTANT,RETURN,VOID,WHILE,{,},FTYPE,Program,call,if语句,return语句,start_point,while语句,加法表达式,因子,声明语句,实参,实参列表,类型,表达式,语句,语句串,语句块,赋值语句,项
32,,,s30,,,,,,,,,,,s85,,,s116,,,,,,,,,,,,,g119,g56,,,,,,,,,,g129
33,,,s25,,,,,,,,,,,s80,,,s147,,,,,,,,,,,,,g145,g55,,,,,,,,,,g110
34,,,s25,,,,,,,s45,,,,s80,,,s147,,,,,,,,,,,,,g146,g55,,,,,g43,,,,,g110
35,,,s25,,,,,,,,,,,s80,,,s147,,,,,,,,,,,,,g127,g55,,,,,,,,,,g110
36,,,s26,,,,,,,,,,,s81,,,s148,,,,,,,,,,,,,,g76,,,,,,,,,,
37,,,s26,,,,,,,,,,,s81,,,s148,,,,,,,,,,,,,,g136,,,,,,,,,,
38,,,,r27,s67,r27,r27,r27,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,r22,r22,r22,r22,,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,,,
40,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,r21,r21,r21,r21,,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,r10,r10,r10,r10,,r10,r10,r10,r10,r10,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,s48,r20,r20,r20,r20,,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,r18,r18,r18,r18,,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,
46,,,,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,r35,,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,s40,,,,,,s78,,,,,g39,,,,,,,,,,,,,g41,,
49,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,r13,r13,r13,r13,,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,
51,r33,,s15,,,,,,,,,,,,,,,,,,,,g97,,g104,,,,,,,,,,,,,,,,
52,r33,,s16,,,,,,,,,,,,,,,,,,,,g99,,g107,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,r15,r15,r15,r15,,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,,,
54,,,,r24,,s19,r24,s24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,s37,r27,,r27,s36,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,r27,s70,r27,,r27,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,r12,r12,r12,r12,,r12,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,s13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,s101,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,s117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,g95,,
64,,,,,,,,,,,,r5,r5,r5,r5,r5,,r5,r5,r5,r5,r5,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,r5,r5,r5,r5,,r5,r5,r5,r5,r5,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,g83,,
67,,,s29,,,,,,,,,,,s52,,,s86,,,,,,,,,,,,,,g132,,,,,,,,,,
68,,,s29,,,,,,,,,,,s52,,,s86,,,,,,,,,,,,,,g75,,,,,,,,,,
69,,,s31,,,,,,,,,,,s109,,,s115,,,,,,,,,,,,,,g74,,,,,,,,,,
70,,,s31,,,,,,,,,,,s109,,,s115,,,,,,,,,,,,,,g133,,,,,,,,,,
71,,,,,,,,,,,,,r7,r7,r7,r7,,r7,r7,r7,r7,r7,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,r16,r16,r16,r16,,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,r29,,r29,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
